RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
102001,United States,0,182300,179100,175100,172000,170800,170400,169600,168400,165600,162100,159400,158000,156000,152000,148600,148000,149800,152100,153800,155400,156900,157700,158700,158900,159500,156900,154700,152100,152400,153000,154200,153800,153600,152600,152500,151600,148800,146100,143600,143900,145100,145500,145300,144900,145200,146100,145600,145700,145600,147300,148500,150400,152100,154400,155000,155800,156600,159300,160400,161100,161200,162400,164400,166300,169200,171500,172400,172300,170700,171200,170800,172000,171700,172100,172400,173200,174700,176400,177700,178000,178200,178900,180200,182200,183800,185700,186600,187400,188200,188300,188500,188000,187900,189500,190900,192200,191900,192600,193000,194400,195300,196900,197300,199100,200800,201900,202400,203200,204400,204800,204900,205500,206800,208000,210100,211400,213400,213600,216000,219900,223400,223800,221100,219900,219200,219300,219100,220400,222500,223800,226000,228300,230900,231500,231300,231900,232400,233100,233800,235900,239200,242100,245700,249700
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363700,362500,362600,361400,362600,359900,356700,354900,353700,354600,352100,345900,342500,338800,341200,345100,350300,353700,356500,355900,353300,349800,353200,356800,355200,352400,349700,353700,351400,354700,354700,359400,364000,367300,370100,365700,363400,361600,365100,365800,365200,364100,364000,364000,365400,364600,363300,362100,362700,368000,370200,370500,368000,364700,366200,363000,363200,363100,365700,366900,368300,365100,364000,363000,365400,365800,365500,365300,366700,365700,369000,367800,368500,362900,364000,364600,368900,370100,369900,371100,369600,371700,372100,376400,377200,377800,376400,377200,378600,380600,381500,383400,384200,385000,384700,385000,385700,386900,389400,390100,392500,392400,393700,394800,396100,398800,402900,408500,414100,416000,418300
753899,"Los Angeles-Long Beach-Anaheim, CA",2,471000,459300,443600,432300,417800,405500,390500,378500,365800,355400,341500,332100,325400,319600,316600,322500,332400,341100,347400,352500,359700,362700,365700,362100,360300,356500,360400,358100,360300,356100,360500,358600,360700,357500,354000,353300,351000,352300,347000,343200,340900,339000,338300,333700,333400,331800,332300,331100,332200,336300,339300,343800,348700,356100,363800,370700,378300,386500,391500,395900,402200,415200,426600,436700,442800,447200,449600,450700,451500,452300,451000,453400,452600,456600,460800,463100,465900,466700,470200,473300,474500,476400,477200,483000,487000,492100,490700,494100,495100,499500,498400,498200,500000,507900,515200,517200,517700,519600,524300,525200,525900,528800,531100,528100,525500,521500,524900,521200,525700,527600,535800,537800,539200,540200,546800,558600,576700,587300,596200,598500,603300,603100,604400,606600,609300,610900,613600,619000,625700,625500,626800,625900,631800,635600,633200,631200,633500,637900,642100,644400,650700,658300,666900,677700
394463,"Chicago, IL",3,251500,246700,231800,220400,217600,219700,224200,224000,217500,213500,207400,207200,202400,196500,187100,180400,180800,186200,190400,192700,191800,191600,192600,194700,192500,187800,180300,177800,173500,175400,173700,178700,178000,178200,175400,173800,169200,163800,156600,154400,155900,160500,162300,160800,156000,155300,152500,152900,152100,153400,152900,154300,155900,158200,158100,156100,155900,155000,156000,154200,153300,153000,156300,161000,168600,174700,178300,179100,177500,178500,177600,179300,177600,177300,177000,180700,184700,191200,193400,193800,190100,188700,189100,189200,189800,191300,192400,192400,190600,186900,184700,182900,181100,180300,178000,179400,179800,181900,182800,182700,183600,186100,187200,188300,188600,191100,193200,196000,198600,199600,198600,196500,195700,196700,197300,198500,199100,201500,206100,210900,217100,218000,215500,213700,214300,217100,216800,217500,220000,217600,219100,223600,233300,236200,232500,226500,222800,223300,224800,228000,229900,233900,234300,241400
394514,"Dallas-Fort Worth, TX",4,144600,144200,142700,142400,144500,146500,146600,144800,143300,141400,139700,139700,140100,140000,140400,142900,146400,148700,149200,148700,147500,145800,144500,144500,145500,147300,146200,146300,146900,151000,152800,151400,150200,150100,151300,150400,146700,143100,141500,142400,145300,147300,149200,149300,148300,149400,149300,150800,151000,153400,155500,157500,159300,160200,162600,162600,162900,162500,163100,163300,163800,167300,170700,173100,176000,177200,179300,177900,178600,177800,176300,176900,177600,179300,179500,180700,182800,184800,185300,186100,187100,189600,191400,193000,193700,195100,196800,198900,201200,202200,202600,202700,202900,204000,203800,206000,207500,210100,212000,214700,216200,217500,219300,221800,224800,225600,227500,230200,232500,233800,233200,232800,232900,234300,236600,239000,240000,242200,243800,248000,249100,249300,247500,247500,248200,246400,246600,245900,247700,247800,248500,249400,249400,250400,251200,252700,254000,256000,258400,261300,263500,265400,268200,269300
394974,"Philadelphia, PA",5,212000,211900,207300,199800,195700,196100,198600,198900,199600,196500,195600,194500,198600,198800,194600,188800,185700,188000,190500,192800,194700,196500,198700,200500,201400,201800,196100,190800,187000,184500,186300,187500,193000,194100,196700,197800,196200,192500,183400,180500,178900,182100,182000,182600,182700,184300,183900,185900,185200,184900,182800,183700,182500,184000,181700,183900,185500,189300,190600,190000,189000,188500,186700,188200,190100,193300,193100,192100,192000,191700,192100,191000,192300,191000,190200,190000,190200,191300,190400,191200,189500,188800,188000,187900,188700,191300,192400,192500,190200,190400,191700,191900,191000,187100,188100,190500,191600,190300,189300,191600,193100,192300,191800,190900,191200,194700,193600,196600,194900,197600,198600,199400,199600,197100,196100,194700,195400,195800,196200,194100,195700,196700,199000,197300,196600,197200,197600,198300,200000,201500,202700,205300,206800,213500,213500,215700,213000,213300,213700,215600,221900,225800,228200,
394692,"Houston, TX",6,146200,144500,141700,142000,143300,144700,146700,144800,140900,135100,133900,134400,137200,139200,141700,144300,147000,149500,150600,149600,147700,144900,144600,144400,145300,145300,144000,143100,142600,144500,145500,145900,147300,149500,149300,148200,145500,143100,141500,142100,143700,146300,146800,148400,148300,149800,148300,145600,144000,147000,150600,154100,155200,155600,154000,153300,155000,155700,156000,154000,155200,159300,163700,167200,169200,170800,171900,171400,172900,172700,172900,173300,175500,177900,178600,178500,177800,179600,180300,181700,180700,181400,183300,184500,185800,185000,186000,187900,189800,191000,189000,188400,186200,187500,188800,189900,188600,189200,191900,195800,199400,200900,203400,204200,207500,209300,211100,211300,211800,211700,212000,212400,212100,212000,213200,216200,218200,217300,216800,218000,219300,220900,221000,220000,219100,218400,219800,221700,223200,226600,226900,229100,228200,230100,229900,229400,227300,227000,227900,231000,233400,236900,239800,243600
395209,"Washington, DC",7,353600,342500,326600,313400,309900,308700,302000,294100,287700,281400,280300,276600,278200,271300,268300,269500,278300,289100,292600,290200,286000,283700,282800,279600,277500,278500,278300,275500,280900,277300,286100,282300,292800,290600,288000,286700,281800,279600,275500,276800,286800,293900,302800,293900,290500,282100,284000,278700,290000,296100,307800,310000,318900,321000,319600,316700,318600,318000,319400,315400,324100,327000,337200,339400,345700,347300,345500,342700,341800,341200,341600,339600,341600,337600,344200,345500,352600,348800,346700,345600,346500,350400,348800,350200,355600,355700,354000,345800,344700,342700,346000,348600,349100,343500,342100,345600,347800,349000,346300,348000,348600,349900,350100,353100,352700,353700,355500,356300,359300,358000,360000,357600,359800,360300,363700,363700,365600,368000,370400,372000,378500,380300,381600,374900,372800,373700,375700,376400,377800,378100,381700,384600,395300,394700,394600,386700,387600,389000,392800,395400,403300,403000,401100,
394856,"Miami-Fort Lauderdale, FL",8,253700,244500,236500,229500,225700,222800,214400,206100,193700,186700,174800,166300,157400,149700,142800,138500,140100,143000,145000,144300,143600,144100,143900,143400,142400,140400,140100,137500,134400,129400,125200,126300,127100,126400,120000,116000,113400,114900,117900,121000,125100,124000,123000,121300,121100,124000,126700,130000,130000,132300,132200,135700,135600,137500,138600,140600,142400,147200,151800,155200,153600,154600,158900,162900,166000,168900,171500,172600,173000,174600,176800,176200,177200,177500,180000,181600,186000,186000,187700,186300,190200,191800,193700,194100,195800,197600,202700,206300,208900,207700,206700,206600,204000,205200,206300,213200,215300,218000,218200,219700,221100,223200,225700,228000,226600,227000,227400,232800,234500,237300,236500,238400,238200,241700,243700,245500,244800,246400,250700,254000,257000,255700,254200,252900,251900,252400,251500,255500,257500,259500,257600,262000,265700,268100,266200,266500,266700,269200,268100,271500,275500,279900,286200,291100
394347,"Atlanta, GA",9,161300,153800,148400,144800,143900,145400,144300,143100,136400,130200,126400,123500,121000,115700,112900,113000,118000,123100,128300,130800,133800,133400,132100,126700,121900,118900,119300,118900,117600,114700,116300,117400,119800,117600,116800,110500,106000,100100,97400,96300,96700,96600,94900,91500,92300,92700,93400,92600,93600,95000,95900,96100,97900,100300,103000,105000,107300,112000,113700,118100,121100,126900,129400,133100,136400,139200,138700,138600,138600,139700,138800,139900,140200,142200,145700,149500,153900,155200,155500,155700,156000,159700,159800,162700,163000,172600,174100,175200,169400,169700,170800,170900,173000,173900,175400,174500,174900,175000,174700,172600,173200,173800,176000,177000,180200,179700,181700,181800,185100,185400,186300,187300,187700,186800,188000,190400,193600,194900,196900,201200,203200,205400,203800,204700,203400,200900,203400,205800,211000,211500,215700,218100,219300,217400,218300,219600,221500,221800,225200,226800,231900,233200,236500,
